word_index	level	word	pinyin	part_of_speech	pinyin_numbered	pinyin_cc-cedict	traditional_cc-cedict	definition_cc-cedict
30	1	的	de	助	de5	de5	的	of; ~'s (possessive particle)/(used after an attribute when it modifies a noun)/(used at the end of a declarative sentence for emphasis)/(used after a noun, verb or adjective to form a nominal expression, as in 皮革的[pi2 ge2 de5] "one made of leather" or 跑堂兒的|跑堂儿的[pao3 tang2 r5 de5] "a waiter (literally, one who runs back and forth in a restaurant)" or 新的[xin1 de5] "new one")/also pr. [di4] or [di5] in poetry and songs
31	1	第	dì	前缀	di4	di4	第	(prefix indicating ordinal number, as in 第六[di4 liu4] "sixth")/(literary) grades in which successful candidates in the imperial examinations were placed/(old) residence of a high official/(literary) but; however/(literary) only; just
32	1	弟弟	dìdi	名	di4 di5	di4 di5	弟弟	younger brother/CL:個|个[ge4],位[wei4]
33	1	点1	diǎn	量	dian3	dian3	點	to touch briefly; to tap/to mark with a dot; to check off (on a list)/to order (food etc); to select/to mention; to bring up (a topic or person)/to hint at; to imply/to administer (eye medicine etc) in drops/to light (a fire, a lamp etc); to ignite/to nod (one's head) in agreement; to beckon by moving (one's hand) up and down/point; dot; spot; speck/dot stroke in Chinese characters/(math.) decimal point/point in time or space/(after a number) o'clock/a small amount; a bit; (after a verb or adjective) a bit more/classifier for small amounts
33	3	点1	diǎn	名	dian3	dian3	點	to touch briefly; to tap/to mark with a dot; to check off (on a list)/to order (food etc); to select/to mention; to bring up (a topic or person)/to hint at; to imply/to administer (eye medicine etc) in drops/to light (a fire, a lamp etc); to ignite/to nod (one's head) in agreement; to beckon by moving (one's hand) up and down/point; dot; spot; speck/dot stroke in Chinese characters/(math.) decimal point/point in time or space/(after a number) o'clock/a small amount; a bit; (after a verb or adjective) a bit more/classifier for small amounts
34	1	店	diàn	名	dian4	dian4	店	inn; old-style hotel (CL:家[jia1])/(bound form) shop; store
35	1	电话	diànhuà	名	dian4 hua4	dian4 hua4	電話	telephone/CL:部[bu4]/phone call/CL:通[tong1]/phone number
36	1	电脑	diànnǎo	名	dian4 nao3	dian4 nao3	電腦	computer/CL:臺|台[tai2]
37	1	电视	diànshì	名	dian4 shi4	dian4 shi4	電視	television; TV/CL:臺|台[tai2],部[bu4]
38	1	电影	diànyǐng	名	dian4 ying3	dian4 ying3	電影	movie; film/CL:部[bu4],片[pian4],場|场[chang3]
39	1	电影院	diànyǐngyuàn	名	dian4 ying3 yuan4	dian4 ying3 yuan4	電影院	cinema; movie theater/CL:家[jia1],座[zuo4]
40	1	东西	dōngxi	名	dong1 xi5	dong1 xi5	東西	thing/stuff/person/CL:個|个[ge4],件[jian4]
41	1	都	dōu	副	dou1	dou1	都	all; both; entirely/(used for emphasis) even/already/(not) at all
42	1	读	dú	动	du2	du2	讀	to read out; to read aloud/to read/to attend (school); to study (a subject in school)/to pronounce
43	1	读书	dúshū	动	du2 shu1	du2 shu1	讀書	to read a book/to study/to attend school
44	1	对	duì	形、介	dui4	dui4	對	right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair
44	4	对	duì	动、量	dui4	dui4	對	right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair
45	1	对不起	duìbuqǐ	动	dui4 bu5 qi3	dui4 bu5 qi3	對不起	I'm sorry; excuse me; I beg your pardon/to let (sb) down; to disappoint
46	1	多	duō	形、动、代	duo1	duo1	多	many; much; more; a lot of/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-
46	2	多	duō	数、副	duo1	duo1	多	many; much; more; a lot of/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-
47	1	多少	duōshao	代	duo1 shao5	duo1 shao5	多少	how much?; how many?/(phone number, student ID etc) what number?
48	1	儿子	érzi	名	er2 zi5	er2 zi5	兒子	son
49	1	二	èr	数	er4	er4	二	two/2/(Beijing dialect) stupid
50	1	饭	fàn	名	fan4	fan4	飯	cooked rice/CL:碗[wan3]/meal/CL:頓|顿[dun4]/(loanword) fan/devotee
51	1	饭店	fàndiàn	名	fan4 dian4	fan4 dian4	飯店	restaurant/hotel/CL:家[jia1],個|个[ge4]
52	1	房间	fángjiān	名	fang2 jian1	fang2 jian1	房間	room/CL:間|间[jian1],個|个[ge4]
53	1	非常	fēicháng	副	fei1 chang2	fei1 chang2	非常	very; really/unusual; extraordinary
54	1	飞机	fēijī	名	fei1 ji1	fei1 ji1	飛機	airplane/CL:架[jia4]
55	1	分	fēn	量	fen1	fen1	分	to divide; to separate/to distribute; to allocate/to distinguish (good and bad)/(bound form) branch of (an organization); sub- (as in 分局[fen1 ju2])/fraction/one tenth (of certain units)/unit of length equivalent to 0.33 cm/minute (unit of time)/minute (angular measurement unit)/a point (in sports or games)/0.01 yuan (unit of money)
55	3	分	fēn	动、名	fen1	fen1	分	to divide; to separate/to distribute; to allocate/to distinguish (good and bad)/(bound form) branch of (an organization); sub- (as in 分局[fen1 ju2])/fraction/one tenth (of certain units)/unit of length equivalent to 0.33 cm/minute (unit of time)/minute (angular measurement unit)/a point (in sports or games)/0.01 yuan (unit of money)
56	1	分钟	fēnzhōng	量	fen1 zhong1	fen1 zhong1	分鐘	minute
57	1	高兴	gāoxìng	形	gao1 xing4	gao1 xing4	高興	happy/glad/willing (to do sth)/in a cheerful mood
58	1	歌	gē	名	ge1	ge1	歌/謌	song (CL:首[shou3],支[zhi1])/(bound form) to sing/variant of 歌[ge1]
59	1	哥哥	gēge	名	ge1 ge5	ge1 ge5	哥哥	older brother/CL:個|个[ge4],位[wei4]
60	1	个	gè	量	ge4	ge4	個/箇	(classifier used before a noun that has no specific classifier)/(bound form) individual/variant of 個|个[ge4]
61	1	给	gěi	动	gei3	gei3	給	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(grammatical equivalent of 被)/(grammatical equivalent of 把)/(sentence intensifier)
61	2	给	gěi	介	gei3	gei3	給	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(grammatical equivalent of 被)/(grammatical equivalent of 把)/(sentence intensifier)
62	1	公司	gōngsī	名	gong1 si1	gong1 si1	公司	company; firm; corporation/CL:家[jia1]
63	1	工作	gōngzuò	动、名	gong1 zuo4	gong1 zuo4	工作	to work/(of a machine) to operate/job/work/task/CL:個|个[ge4],份[fen4],項|项[xiang4]
64	1	狗	gǒu	名	gou3	gou3	狗	dog/CL:隻|只[zhi1],條|条[tiao2]
65	1	贵	guì	形	gui4	gui4	貴	Guizhou Province (abbr. for 貴州省|贵州省[Gui4 zhou1 Sheng3])/expensive/(bound form) highly valued; precious/(bound form) noble; of high rank/(prefix) (honorific) your
66	1	国	guó	名	guo2	guo2	國	country; nation; state/(bound form) national/surname Guo
67	1	还	hái	副	hai2	hai2	還	still/still in progress/still more/yet/even more/in addition/fairly/passably (good)/as early as/even/also/else
68	1	孩子	háizi	名	hai2 zi5	hai2 zi5	孩子	child
69	1	汉语	Hànyǔ	名	han4 yu3	han4 yu3	漢語	Chinese language
70	1	汉字	Hànzì	名	han4 zi4	han4 zi4	漢字	Chinese character(s)
71	1	好	hǎo	形	hao3	hao3	好	good/appropriate; proper/all right!/(before a verb) easy to/(before a verb) good to/(before an adjective for exclamatory effect) so/(verb complement indicating completion)/(of two people) close; on intimate terms/(after a personal pronoun) hello
71	2	好	hǎo	副	hao3	hao3	好	good/appropriate; proper/all right!/(before a verb) easy to/(before a verb) good to/(before an adjective for exclamatory effect) so/(verb complement indicating completion)/(of two people) close; on intimate terms/(after a personal pronoun) hello
71	4	好	hǎo	动	hao3	hao3	好	good/appropriate; proper/all right!/(before a verb) easy to/(before a verb) good to/(before an adjective for exclamatory effect) so/(verb complement indicating completion)/(of two people) close; on intimate terms/(after a personal pronoun) hello
72	1	好吃	hǎochī	形	hao3 chi1	hao3 chi1	好吃	tasty; delicious
73	1	好看	hǎokàn	形	hao3 kan4	hao3 kan4	好看	good-looking; nice-looking/(of a movie, book, TV show etc) good/in an embarrassing situation
74	1	好听	hǎotīng	形	hao3 ting1	hao3 ting1	好聽	pleasant to hear
75	1	好玩儿	hǎowánr	形	hao3 wan2 r5	hao3 wan2 r5	好玩兒	erhua variant of 好玩[hao3 wan2]
76	1	号	hào	名、量	hao4	hao4	號	ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name/to take a pulse/classifier used to indicate number of people
77	1	喝	hē	动	he1	he1	喝	to drink/variant of 嗬[he1]
78	1	和1	hé	介、连	he2	he2	咊/和/龢	(joining two nouns) and; together with; with (Taiwan pr. [han4])/(math.) sum/to make peace/(sports) to draw; to tie/(bound form) harmonious/(bound form) Japan; Japanese/(literary) harmonious (variant of 和[he2])/old variant of 和[he2]/surname He
79	1	很	hěn	副	hen3	hen3	很	very; quite/(also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element)
80	1	后	hòu	名	hou4	hou4	后/後	back/behind/rear/afterwards/after/later/post-/empress/queen/(archaic) monarch/ruler/surname Hou
81	1	回	huí	动	hui2	hui2	回/迴/逥	to circle/to go back/to turn around/to answer/to return/to revolve/Hui ethnic group (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book)/to curve/to return/to revolve/variant of 迴|回[hui2]
81	3	回	huí	量	hui2	hui2	回/迴/逥	to circle/to go back/to turn around/to answer/to return/to revolve/Hui ethnic group (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book)/to curve/to return/to revolve/variant of 迴|回[hui2]
82	1	会1	huì	动	hui4	hui4	會	can; to have the skill; to know how to/to be likely to; to be sure to/to meet; to get together/meeting; gathering/(suffix) union; group; association/(bound form) a moment (Taiwan pr. [hui3])
83	1	火车	huǒchē	名	huo3 che1	huo3 che1	火車	train/CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]
84	1	鸡蛋	jīdàn	名	ji1 dan4	ji1 dan4	雞蛋	(chicken) egg/hen's egg/CL:個|个[ge4],打[da2]
85	1	几	jǐ	代、数	ji3	ji3	幾	how much/how many/several/a few
86	1	家	jiā	名、量	jia1	jia1	傢/家	home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]/used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]
86	3	家	jiā	后缀	jia1	jia1	傢/家	home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]/used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]
87	1	家人	jiārén	名	jia1 ren2	jia1 ren2	家人	family member/(old) servant
88	1	见	jiàn	动	jian4	jian4	見	to see/to meet/to appear (to be sth)/to interview/opinion/view
89	1	件	jiàn	量	jian4	jian4	件	item/component/classifier for events, things, clothes etc
90	1	饺子	jiǎozi	名	jiao3 zi5	jiao3 zi5	餃子	dumpling/pot-sticker/CL:個|个[ge4],隻|只[zhi1]
91	1	叫	jiào	动	jiao4	jiao4	叫/呌	to shout/to call/to order/to ask/to be called/by (indicates agent in the passive mood)/variant of 叫[jiao4]
91	4	叫	jiào	介	jiao4	jiao4	叫/呌	to shout/to call/to order/to ask/to be called/by (indicates agent in the passive mood)/variant of 叫[jiao4]
92	1	姐姐	jiějie	名	jie3 jie5	jie3 jie5	姐姐	older sister/CL:個|个[ge4]
93	1	今年	jīnnián	名	jin1 nian2	jin1 nian2	今年	this year
94	1	今天	jīntiān	名	jin1 tian1	jin1 tian1	今天	today/the present time; now
95	1	九	jiǔ	数	jiu3	jiu3	九	nine/9
96	1	觉得	juéde	动	jue2 de5	jue2 de5	覺得	to think that ...; to feel that .../to feel (uncomfortable etc)
97	1	开	kāi	动	kai1	kai1	開	to open (transitive or intransitive)/(of ships, vehicles, troops etc) to start/to turn on; to put in operation; to operate; to run/to boil/to write out (a prescription, check, invoice etc)/(directional complement) away; off/carat (gold)/abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/abbr. for 開本|开本[kai1 ben3], book format
98	1	开车	kāichē	动	kai1 che1	kai1 che1	開車	to drive a car (or train etc)/(slang) to post sexual content online; to make a sexual joke
99	1	看	kàn	动	kan4	kan4	看	to see; to look at/to read/to watch/to visit; to call on/to consider; to regard as/to look after/to treat (a patient or illness)/to depend on/to feel (that)/(after a verb) to give it a try/to watch out for
100	1	看病	kànbìng	动	kan4 bing4	kan4 bing4	看病	to visit a doctor/to see a patient
101	1	看见	kànjiàn	动	kan4 jian4	kan4 jian4	看見	to see; to catch sight of
102	1	可以	kěyǐ	动、形	ke3 yi3	ke3 yi3	可以	can/may/possible/able to/not bad/pretty good
103	1	课	kè	名	ke4	ke4	課	subject/course/CL:門|门[men2]/class/lesson/CL:堂[tang2],節|节[jie2]/to levy/tax/form of divination
104	1	口	kǒu	名、量	kou3	kou3	口	mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls
105	1	块	kuài	量	kuai4	kuai4	塊	lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units
106	1	来	lái	动	lai2	lai2	來	to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])
107	1	老师	lǎoshī	名	lao3 shi1	lao3 shi1	老師	teacher/CL:個|个[ge4],位[wei4]
108	1	了	le	助	le5	le5	了	(completed action marker)/(modal particle indicating change of state, situation now)/(modal particle intensifying preceding clause)
109	1	冷	lěng	形	leng3	leng3	冷	cold/surname Leng
110	1	里	lǐ	名	li3	li3	裏/裡/里	Li (surname)/li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels/lining/interior/inside/internal/also written 裏|里[li3]/variant of 裡|里[li3]
111	1	两1	liǎng	数	liang3	liang3	兩	two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)
112	1	零	líng	数	ling2	ling2	零	zero/nought/zero sign/fractional/fragmentary/odd (of numbers)/(placed between two numbers to indicate a smaller quantity followed by a larger one)/fraction/(in mathematics) remainder (after division)/extra/to wither and fall/to wither
113	1	六	liù	数	liu4	liu4	六	six/6
114	1	妈妈	māma	名	ma1 ma5	ma1 ma5	媽媽	mama/mommy/mother/CL:個|个[ge4],位[wei4]
115	1	吗	ma	助	ma5	ma5	嗎	(question particle for "yes-no" questions)
116	1	买	mǎi	动	mai3	mai3	買	to buy/to purchase
117	1	卖	mài	动	mai4	mai4	賣	to sell/to betray/to spare no effort/to show off or flaunt
118	1	忙	máng	形、动	mang2	mang2	忙	busy/hurriedly/to hurry/to rush
119	1	猫	māo	名	mao1	mao1	貓	cat (CL:隻|只[zhi1])/(dialect) to hide oneself/(loanword) (coll.) modem
120	1	没关系	méiguānxi		mei2 guan1 xi5	mei2 guan1 xi5	沒關係	it doesn't matter
121	1	没事	méishì	动	mei2 shi4	mei2 shi4	沒事	it's not important/it's nothing/never mind/to have nothing to do/to be free/to be all right (out of danger or trouble)
122	1	没有	méiyǒu	动、副	mei2 you3	mei2 you3	沒有	haven't/hasn't/doesn't exist/to not have/to not be
123	1	妹妹	mèimei	名	mei4 mei5	mei4 mei5	妹妹	younger sister/young woman/CL:個|个[ge4]
124	1	们	men	后缀	men5	men5	們	plural marker for pronouns, and nouns referring to individuals
125	1	米饭	mǐfàn	名	mi3 fan4	mi3 fan4	米飯	(cooked) rice
126	1	面包	miànbāo	名	mian4 bao1	mian4 bao1	麵包	bread/CL:片[pian4],塊|块[kuai4]
127	1	面条儿	miàntiáor	名	mian4 tiao2 r5	mian4 tiao2 r5	麵條兒	erhua variant of 麵條|面条[mian4 tiao2]
128	1	明年	míngnián	名	ming2 nian2	ming2 nian2	明年	next year
129	1	明天	míngtiān	名	ming2 tian1	ming2 tian1	明天	tomorrow
130	1	名字	míngzi	名	ming2 zi5	ming2 zi5	名字	name (of a person or thing)/CL:個|个[ge4]
131	1	哪	nǎ	代	na3	na3	哪	how/which
132	1	哪个	nǎge	代	na3 ge5	na3 ge5	哪個	which/who
133	1	哪里	nǎlǐ	代	na3 li3	na3 li3	哪裏/哪裡	where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment/where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment/also written 哪裡|哪里
134	1	哪儿	nǎr	代	na3 r5	na3 r5	哪兒	where?/wherever; anywhere; somewhere/(used in rhetorical questions) how can ...?; how could ...?
135	1	哪些	nǎxiē	代	na3 xie1	na3 xie1	哪些	which ones?/who?/what?
136	1	那	nà	代	na4	na4	那	(specifier) that; the; those (colloquial pr. [nei4])/(pronoun) that (referring to persons, things or situations)/then (in that case)
136	2	那	nà	连	na4	na4	那	(specifier) that; the; those (colloquial pr. [nei4])/(pronoun) that (referring to persons, things or situations)/then (in that case)
137	1	那边	nàbiān	代	na4 bian1	na4 bian5	那邊	over there/yonder
138	1	那个	nàge	代	na4 ge5	na4 ge5	那個	that one/that thing/that (as opposed to this)/(used before a verb or adjective for emphasis)/(used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word)/(used in speech as a filler, similar to "umm", "you know" etc)/(euph.) menstruation/sex/also pr. [nei4 ge5]
139	1	那里	nàlǐ	代	na4 li3	na4 li5	那裏/那裡	there; that place
140	1	那儿	nàr	代	na4 r5	na4 r5	那兒	there
141	1	那些	nàxiē	代	na4 xie1	na4 xie1	那些	those
142	1	男	nán	形	nan2	nan2	男	(bound form) male/baron, the lowest of the five ranks of nobility 五等爵位[wu3 deng3 jue2 wei4]
143	1	男朋友	nánpéngyou	名	nan2 peng2 you5	nan2 peng2 you5	男朋友	boyfriend
144	1	呢	ne	助	ne5	ne5	呢	(sentence-final particle) used in questions to link back to prior discourse or context ("what about...?", "and...?")/(sentence-final particle) indicating that a state or situation still holds/(discourse particle) used to mark a slight pause or emphasis in speech
145	1	能	néng	动	neng2	neng2	能	can/to be able to/might possibly/ability/(physics) energy/surname Neng
146	1	你	nǐ	代	ni3	ni3	你/妳	you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.)/you (informal, as opposed to courteous 您[nin2])
147	1	你好	nǐhǎo		ni3 hao3	ni3 hao3	你好	hello; hi
148	1	你们	nǐmen	代	ni3 men5	ni3 men5	你們	you (plural)
149	1	年	nián	名、量	nian2	nian2	年/秊	grain/harvest (old)/variant of 年[nian2]/surname Nian/year/CL:個|个[ge4]
150	1	您	nín	代	nin2	nin2	您	you (courteous, as opposed to informal 你[ni3])
151	1	牛奶	niúnǎi	名	niu2 nai3	niu2 nai3	牛奶	cow's milk/CL:瓶[ping2],杯[bei1]
152	1	女	nǚ	形	nü3	nü3	女	female/woman/daughter
153	1	女儿	nǚ’ér	名	nü3 er2	nü3 er2	女兒	daughter
154	1	女朋友	nǚpéngyou	名	nü3 peng2 you5	nü3 peng2 you5	女朋友	girlfriend
155	1	女士	nǚshì	名	nü3 shi4	nü3 shi4	女士	lady/madam/CL:個|个[ge4],位[wei4]/Miss/Ms
156	1	朋友	péngyou	名	peng2 you5	peng2 you5	朋友	friend/CL:個|个[ge4],位[wei4]
157	1	便宜	piányi	形	pian2 yi5	pian2 yi5	便宜	cheap; inexpensive/a petty advantage/to let sb off lightly
158	1	漂亮	piàoliang	形	piao4 liang5	piao4 liang5	漂亮	pretty; beautiful
159	1	苹果	píngguǒ	名	ping2 guo3	ping2 guo3	蘋果	Apple (American tech company)/apple/CL:個|个[ge4],顆|颗[ke1]
160	1	七	qī	数	qi1	qi1	七	seven/7
161	1	起床	qǐchuáng	动	qi3 chuang2	qi3 chuang2	起床	to get out of bed; to get up
162	1	千	qiān	数	qian1	qian1	千/韆	thousand/used in 鞦韆|秋千[qiu1 qian1]
163	1	前	qián	名	qian2	qian2	前	front/forward/ahead/first/top (followed by a number)/future/ago/before/BC (e.g. 前293年)/former/formerly
164	1	钱	qián	名	qian2	qian2	錢	coin/money/CL:筆|笔[bi3]/unit of weight, one tenth of a tael 兩|两[liang3]/surname Qian
165	1	请	qǐng	动	qing3	qing3	請	to ask/to invite/please (do sth)/to treat (to a meal etc)/to request
166	1	请问	qǐngwèn	动	qing3 wen4	qing3 wen4	請問	Excuse me, may I ask...?
167	1	去	qù	动	qu4	qu4	去	to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)
168	1	去年	qùnián	名	qu4 nian2	qu4 nian2	去年	last year
169	1	热	rè	形	re4	re4	熱	to warm up/to heat up/hot (of weather)/heat/fervent
170	1	人	rén	名	ren2	ren2	人	person; people/CL:個|个[ge4],位[wei4]
171	1	认识	rènshi	动	ren4 shi5	ren4 shi5	認識	to know/to recognize/to be familiar with/to get acquainted with sb/knowledge/understanding/awareness/cognition
172	1	日	rì	量	ri4	ri4	日	abbr. for 日本[Ri4 ben3], Japan/sun/day/date, day of the month
172	4	日	rì	名	ri4	ri4	日	abbr. for 日本[Ri4 ben3], Japan/sun/day/date, day of the month
173	1	三	sān	数	san1	san1	三	surname San/three/3
174	1	商店	shāngdiàn	名	shang1 dian4	shang1 dian4	商店	store; shop/CL:家[jia1],個|个[ge4]
175	1	上	shàng	名、动	shang4	shang4	上	(bound form) up; upper; above; previous/first (of multiple parts)/to climb; to get onto; to go up/to attend (class or university)/(directional complement) up/(noun suffix) on; above
176	1	上班	shàngbān	动	shang4 ban1	shang4 ban1	上班	to go to work/to be on duty/to start work/to go to the office
177	1	上课	shàngkè	动	shang4 ke4	shang4 ke4	上課	to go to class/to attend class/to go to teach a class
178	1	上午	shàngwǔ	名	shang4 wu3	shang4 wu3	上午	morning/CL:個|个[ge4]
179	1	上学	shàngxué	动	shang4 xue2	shang4 xue2	上學	to go to school/to attend school
180	1	少	shǎo	形、动	shao3	shao3	少	few/less/to lack/to be missing/to stop (doing sth)/seldom
181	1	谁	shéi/shuí	代	shei2/shui2	shei2	誰	who/also pr. [shui2]
182	1	什么	shénme	代	shen2 me5	shen2 me5	什麼	what?/something; anything
183	1	生病	shēngbìng	动	sheng1 bing4	sheng1 bing4	生病	to fall ill
184	1	十	shí	数	shi2	shi2	十	ten/10
185	1	时候	shíhou	名	shi2 hou5	shi2 hou5	時候	time/length of time/moment/period
186	1	时间	shíjiān	名	shi2 jian1	shi2 jian1	時間	(concept of) time/(duration of) time/(point in) time
187	1	事	shì	名	shi4	shi4	事	matter/thing/item/work/affair/CL:件[jian4],樁|桩[zhuang1],回[hui2]
188	1	是	shì	动	shi4	shi4	是/昰	to be (followed by substantives only)/correct; right; true/(respectful acknowledgement of a command) very well/(adverb for emphatic assertion)/variant of 是[shi4]
189	1	手机	shǒujī	名	shou3 ji1	shou3 ji1	手機	cell phone; mobile phone/CL:部[bu4],臺|台[tai2]
190	1	书	shū	名	shu1	shu1	書	abbr. for 書經|书经[Shu1 jing1]/book/letter/document/CL:本[ben3],冊|册[ce4],部[bu4]/to write
