word_index	gloss
229	to finish class
230	afternoon
231	sir; mister; husband
232	now
233	to want; to miss (someone)
234	small
235	child; kid
236	hour
237	elementary school
238	primary school student
239	some; a few
240	to write
241	thank you
242	new
243	week
244	Sunday
245	Sunday
246	to rest
247	to study; to learn
248	student
249	to study; to learn
250	school
251	snow
252	to want; will
253	also; too
254	one
255	clothes
256	doctor
257	hospital
258	half
259	a little; a moment
260	chair
261	a little; a bit
262	some; a few
263	to have; there is
264	some
265	a little; somewhat
266	some
267	rain
268	yuan (unit of money)
269	month; moon
270	again
271	at; in
272	goodbye
273	early; good morning
274	breakfast
275	morning
276	how; why
277	how; how about
278	to look for
279	this
280	this side; here
281	this; this one
282	here
283	here
284	these
285	really; truly
286	in the process of (doing sth)
287	classifier for animals
288	to know
289	China
290	Chinese (language)
291	noon
292	middle school
293	middle school student
294	to live; to reside
295	table; desk
296	character; word
297	yesterday
298	to sit; to take (transport)
299	to make; to do
300	to cook; to prepare a meal
301	particle showing agreement or emphasis
302	to enjoy; hobby
303	white
304	class (in school); shift; team
305	to help
306	to help; to do a favor
307	bag; to wrap
308	notebook
309	to compare; than
310	pen; writing implement
311	don't
312	pretty good; not bad
313	embarrassed; sorry to trouble you
314	long
315	station; bus stop
316	to go out
317	to go abroad
318	to come out
319	to go out; to leave home
320	to go out
321	bed
322	word
323	classifier for occurrences; time(s)
324	from
325	since childhood
326	wrong; mistake
327	to hit; to play (a sport)
328	to take a taxi
329	to open; to turn on
330	but
331	but; however
332	particle linking a verb to its result
333	-ly; particle before a verb or adjective
334	to wait; and so on
335	subway
336	to order (food); to touch lightly
337	to understand
338	to move
339	restaurant
340	to fly
341	tall; high
342	high school
343	to tell; to inform
344	height; build (of a person)
345	with
346	public bus
347	to pass; to spend (time)
348	to come over
349	to celebrate the New Year
350	to go past; to pass by
351	particle marking a past experience
352	still; or
353	black
354	black tea
355	red
356	behind; the back
357	to spend (money, time)
358	flower
359	to draw; a painting
360	bad; broken
361	to come back
362	to go back
363	airport
364	plane ticket
365	to remember
366	classifier for rooms
367	to teach
368	classroom
369	to introduce
370	to enter
371	near; close
372	to come in
373	to go in
374	often; frequently
375	hotel
376	then; already; just
377	coffee
378	to begin; beginning
379	to start school (term)
380	to take a test; to test
381	to take an exam; exam
382	maybe; possible
383	pants; trousers
384	fast; quick; soon
385	happy
386	about to; soon
387	basketball
388	tired
389	away from; to leave
390	inside
391	building; floor
392	road
393	on the way
394	to travel; trip
395	green tea
396	green
397	slow
398	boring
399	every; each
400	door; gate
401	doorway; entrance
402	admission ticket
403	suffix meaning side, as in inside
404	name; classifier for people
405	to hold; to take
406	so; like that; then
407	like that; that way
408	milk tea
409	grandma (paternal)
410	boy
411	bird
412	girl
413	beside; next to
414	to run
415	to run; to jog
416	ticket
417	wife
418	to get up; to stand up
419	in front; ahead
420	sunny; clear (weather)
421	ball
422	to let; to have someone do something
423	meat
424	shopping mall
425	to come up
426	on top of; above
427	to go up
428	to go online
429	body; health
430	birthday
431	time; o'clock
432	matter; thing
433	hand
434	wristwatch
435	schoolbag
436	comfortable
437	to give (as a gift); to send
438	although
439	so; therefore
440	sore; painful
441	to kick
442	question; problem (on an exam)
443	classifier for long thin things
444	to dance
445	head
446	foreign country
447	outside
448	to finish
449	ten thousand
450	toward
451	online
452	to forget
453	classifier for people (polite)
454	why
455	to hope
456	to wash
457	bathroom; restroom
458	to come down
459	below; next
460	to go down; to continue
461	child; kid
462	when one was young
463	to laugh; to smile
464	surname; to be named
465	full name
466	color
467	eye
468	medicine
469	pharmacy
470	grandpa (paternal)
471	a moment; a while
472	already
473	together
474	meaning
475	overcast; cloudy
476	because
477	to swim
478	to swim
479	interesting
480	sometimes
481	right (side)
482	right side
483	fish
484	far
485	sports; to exercise
486	station; stop
487	husband
488	so; like this
489	like this; such
490	particle marking an ongoing action
491	right; exactly; in the middle of
492	week
493	to prepare; to plan to
494	oneself
495	to walk; to leave
496	to walk
497	soccer
498	most; -est
499	left
500	left side
501	aunt; woman of one's parents' age
502	short (of a person)
503	spouse
504	quiet; peaceful
505	safe
506	classifier for a handful; object marker
507	to move (something); to relocate
508	class (in school)
509	to move house
510	to handle; to manage
511	method; way (to do something)
512	office
513	half a day; a long time
514	to help; help
515	full (after eating)
516	newspaper
517	north
518	the north
519	by (marks the passive voice)
520	notes (written)
521	to compare; relatively
522	notebook; laptop
523	for example
524	competition; match
525	must; have to
526	to change; to become
527	classifier for repeated actions
528	to become; to turn into
529	to change; a change
530	to perform; performance
531	other; else
532	other people; others
533	hotel
534	ice
535	ice cream
536	refrigerator
537	patient (sick person)
538	not only
539	not to see; to be missing
540	no need to
541	different
542	soon; not long after
543	won't do; not okay
544	only then; not until
545	menu
546	to take part in; to join
547	grass
548	lawn; meadow
549	floor (of a building); layer
550	to look up; to check
551	lacking; not up to standard
552	almost; about the same
553	to taste (food)
554	often
555	common; commonly seen
556	commonly used
557	often; frequently
558	shirt
559	grades; results
560	city
561	to arrive late; to be late
562	to set off; to depart
563	to be born
564	to leave the hospital
565	junior high school
566	besides; except for
567	boat; ship
568	spring (season)
569	dictionary
570	smart; clever
571	to clean; to sweep
572	to plan; plan
573	probably; approximate
574	adult
575	size
576	giant panda
577	overcoat
578	to bring; to carry; to lead
579	to worry
580	cake
581	of course
582	everywhere
583	to get; to obtain
584	to get; to receive
585	to score (a point); score
586	if (after a conditional clause)
587	must; have to
588	lamp; light
589	ground; land
590	location; place
591	place
592	map
593	electricity
594	elevator
595	e-book
596	to lose; to throw away
597	east
598	northeast; Manchuria
599	the east; the Orient
600	southeast
601	winter
602	to understand; to know
603	animal
604	zoo
605	short; brief
606	shorts; short pants
607	classifier for periods, sections
608	to exercise; to work out
609	to have a dialogue; conversation
610	hungry
611	moreover; and also
612	ear
613	headphones; earphones
614	to send out; to issue
615	to have a fever
616	to happen; to occur
617	to discover; to find
618	to develop; development
619	convenient
620	instant noodles
621	method; way
622	direction
623	house; building
624	to put; to place
625	to be on vacation
626	to feel at ease; not to worry
627	to get out of school
628	to separate; to part
629	wind
630	classifier for letters
631	married couple; husband and wife
632	to serve; service
633	nearby; in the vicinity
634	to review (lessons)
635	should; ought to
636	clean
637	to be interested
638	to feel; to sense
639	to catch a cold; a cold
640	to do; to work
641	just; just now
642	just now; a moment ago
643	just now; just recently
644	high-speed rail
645	according to; based on
646	even more; still more
647	kilogram
648	park
649	workday; weekday
650	story; tale
651	to blow (of wind); to shave
652	to close; to turn off
653	to turn off; to shut down
654	relationship; connection
655	to care about; to be concerned
656	about; concerning
657	to pay attention to; to follow
658	country; nation
659	to celebrate a holiday
660	the past; former
661	sea; ocean
662	to be afraid; to be scared
663	many; quite a lot
664	a long time; quite a while
665	to seem like; as if
666	number
667	river
668	suitable; appropriate
669	blackboard
670	traffic light
671	afterwards; later
672	the year after next
673	the day after tomorrow
674	passport
675	garden
676	painter; artist
677	to welcome
678	to return; to pay back
679	environment; surroundings
680	to exchange; to change
681	yellow
682	to answer; to reply
683	meeting; association
684	meeting; conference
685	or
686	or
687	chicken
688	almost; nearly
689	opportunity; chance
690	extremely
691	urgent; anxious; to worry
692	to remember; to note down
693	season
694	season
695	to add; plus
696	vacation; holiday
697	to persist; to persevere
698	to examine; to inspect
699	simple; not complicated
700	to check tickets
701	healthy; health
702	to meet (each other)
703	to speak; to explain
704	dime (0.1 yuan)
705	foot; leg (of an animal or object)
706	to meet (someone); to answer (phone)
707	street
708	classifier for lessons; festival
709	to get married
710	show; program
711	holiday; festival
712	to end; to finish
713	to solve; to resolve
714	sisters
715	to borrow; to lend
716	catty (500 grams)
717	to pass by; to go through
718	manager
719	long (in time)
720	alcohol; liquor; wine
721	old; used
722	classifier for sentences
723	sentence
724	to decide; decision
725	card
726	to bloom; to blossom
727	to have a meeting
728	to turn on; to start up (a device)
729	happy; cheerful
730	it seems; apparently
731	but; however
732	thirsty
733	cute; adorable
734	but; however
735	quarter of an hour
736	textbook
737	guest; visitor
738	text (of a lesson)
739	air conditioner
740	to cry; to weep
741	chopsticks
742	mineral water
743	to come from
744	blue
745	old; prefix for familiarity
746	old person; elderly person
747	to leave; to depart
748	gift; present
749	history
750	face
751	to practice; to train
752	to practice; exercise
753	pleasantly cool
754	classifier for vehicles
755	to chat
756	to chat
757	to understand; to find out
758	neighbor
759	to study abroad
760	student studying abroad
761	stairs; staircase
762	roadside; curb
763	intersection; crossing
764	horse
765	street; road
766	right away; immediately
767	satisfied; pleased
768	dime (0.1 yuan)
769	meter (unit); rice
770	in front of; facing
771	clear; to understand
772	list of names
773	celebrity; famous person
774	south
775	difficult; hard
776	the south; southern region
777	sad; feeling bad
778	ugly; unsightly
779	man; men
780	boy; male student
781	difficult problem
782	unpleasant to hear; harsh
783	grade; year (in school)
784	young
785	cow; ox; cattle
786	to work hard; hard-working
787	woman
788	girl; female student
789	to climb; to crawl
790	to be afraid; to fear
791	to take a photo
792	plate; tray
793	fat; plump
794	beer
795	usually; ordinarily
796	bottle
797	to ride (a bike, horse)
798	strange; odd
799	actually; in fact
800	other; the rest
801	to get up; to rise
802	to take off (aircraft)
803	car; automobile
804	pencil
805	the year before last
806	the day before yesterday
807	clear; to understand clearly
808	to ask for time off
809	to treat someone (to a meal)
810	autumn; fall
811	court; field; stadium
812	skirt
813	then; after that
814	warm; enthusiastic
815	to recognize
816	to think; to believe
817	serious; conscientious
818	easy
819	if
820	umbrella
821	to sweep
822	sofa; couch
823	mountain; hill
824	jacket; upper garment
825	spoon; ladle
826	at one's side; nearby
827	height (of a person)
828	sound; classifier for sounds
829	life; to live
830	to get angry
831	sound; voice
832	city; market
833	to try; to test
834	room
835	world
836	to receive; to collect
837	to receive
838	to receive; to bear; to suffer
839	thin; skinny
840	to receive; to be subjected to
841	uncle (father's younger brother)
842	tree
843	math; mathematics
844	to brush; to swipe (a card)
845	pair; classifier for pairs
846	level; standard (of skill)
847	driver
848	the four seasons
849	sun
850	sugar; candy
851	special; especially
852	to raise; to improve
853	sports; physical education
854	gym; stadium
855	sweet
856	to jump; to hop
857	to hear (that); it's said that
858	quite; very (coll.)
859	colleague; co-worker
860	to agree
861	hair (on the head)
862	sudden; suddenly
863	library
864	leg
865	another part of the country
866	takeout food; to deliver takeout
867	foreign language
868	to complete; to finish
869	bowl
870	late; delayed (of trains etc)
871	evening party
872	tennis
873	website
874	to forget
875	for; because of
876	in order to; for the sake of
877	bathroom; toilet
878	culture
879	room; house
880	west
881	northwest
882	the West; Western countries
883	watermelon
884	southwest
885	habit; to be used to
886	to like; to be fond of
887	washing machine
888	to take a shower; to bathe
889	summer
890	first; beforehand
891	banana
892	to believe; to trust
893	suitcase; box
894	towards; to face
895	to resemble; to be like
896	camera
897	residential community
898	to be careful
899	campus
900	principal; headmaster
901	shoe
902	in one's heart; on one's mind
903	New Year
904	news
905	fresh; novel
906	letter; to trust
907	credit card
908	OK; all right; competent
909	luggage
910	interest; hobby
911	to go on vacation
912	to need; needs
913	to choose; to select
914	to choose; choice
915	semester; term
916	tooth
917	toothbrush
918	sheep; goat
919	to raise; to keep (pets)
920	to require; requirement
921	page
922	certainly; definitely
923	in total; altogether
924	together; in one place
925	the same; alike
926	after; afterwards; later
927	before; previously
928	above; more than
929	besides; other than
930	to think; to assume (wrongly)
931	below; the following
932	ordinary; usual; general
933	while (doing two things at once)
934	continuously; always; straight
935	music
936	bank
937	bank card
938	drink; beverage
939	should; ought to
940	influence; to affect
941	to use
942	mail; email
943	tourist
944	game
945	mailbox; email inbox
946	related to; concerning
947	famous; well-known
948	useful
949	again; also
950	badminton
951	language
952	raincoat
953	to run into; to encounter
954	to meet; to run into
955	garden; park
956	suffix for a person's role or job
957	willing; to be willing to
958	increasingly; the more, the more
959	the moon
960	sports meet; games
961	athlete
962	we; us (including listener)
963	dirty
964	what should I do?
965	how; what kind
966	to stand
967	classifier for flat objects; to open
968	to grow; head; chief
969	worried; anxious; in a hurry
970	according to; to take a photo
971	to take care of; to look after
972	photo; picture
973	to take a photo
974	until
975	only; just
976	paper
977	can only
978	just; merely; but
979	as long as; provided that
980	only if; only when
981	in; within; middle
982	the middle; between
983	finally; at last
984	classifier for kinds/types
985	important
986	weekend
987	main; major; primary
988	to pay attention to
989	to be hospitalized
990	dictionary
991	bicycle
992	noun suffix with no meaning of its own
993	always; in general; overall
994	always
995	mouth
996	best; had better
997	finally; last; in the end
998	recently
999	to be a guest; to visit
1000	homework; assignment
1001	ah!; oh! (surprise)
1002	romantic love
1003	compassion; kindness
1004	security check
1005	to arrange; to plan
1006	to press; according to
1007	on time; on schedule
1008	according to
1009	baijiu (Chinese liquor)
1010	to work (in an office)
1011	to handle; to process
1012	to handle matters; to work
1013	great; wonderful
1014	to protect
1015	to guarantee; guarantee
1016	to hug; to hold in one's arms
1017	to sign up for an exam
1018	to sign up; to register
1019	sorry; apologetic
1020	to carry on one's back
1021	backpack
1022	the north; northern part
1023	times; -fold (multiplier)
1024	undergraduate program
1025	originally; at first
1026	stupid; foolish
1027	nose
1028	written exam
1029	to graduate; graduation
1030	graduate (of a school)
1031	convenient for; easy to
1032	standard; criterion
1033	watch (timepiece); table; form
1034	form; table
1035	to express; to indicate
1036	to show; performance; behavior
1037	to praise
1038	cookie; cracker
1039	and; also; (not) at all
1040	and; moreover
1041	to broadcast; to play (media)
1042	PhD; doctorate
1043	need not; don't have to
1044	inconvenient
1045	continuously; constantly
1046	not enough; insufficient
1047	but; however; only
1048	no matter (what/who/how)
1049	a step; a pace
1050	department; classifier for films/books
1051	have no choice but to
1052	part; portion
1053	no matter; regardless of
1054	not only
1055	not only
1056	dissatisfied; discontented
1057	department; branch
1058	not as good as; inferior to
1059	to wipe; to rub
1060	to guess
1061	material; data
1062	to visit; to tour
1063	to compete; to take part
1064	restaurant; dining hall
1065	sports field; playground
1066	toilet; restroom
1067	to examine; to check
1068	tea leaves; tea
1069	to search for; to look up
1070	almost; nearly
1071	to produce; to give rise to
1072	factory
1073	classifier for events/performances
1074	to exceed; to surpass
1075	vehicle speed
1076	parking space
1077	city
1078	to ride; to take a vehicle
1079	to succeed; successful
1080	passenger
1081	honest
1082	to become
1083	to ride; to take a vehicle
1084	to be startled; shocked
1085	late
1086	again; repeated
1087	again; anew
1088	to go on a business trip
1089	exit; to export
1090	to appear
1091	to travel; to go on a trip
1092	to rent out
1093	kitchen
1094	chef; cook
1095	window
1096	window
1097	to blow
1098	word; term; expression
1099	this; these
1100	this time
1101	besides; in addition
1102	from then on; since then
1103	always; never (in negatives)
1104	from within; therefrom
1105	thick; coarse
1106	careless; thoughtless
1107	village
1108	to save; to deposit; to store
1109	to miss (a chance, train)
1110	mistake; wrong
1111	to agree; to promise
1112	to answer; to reply
1113	answer
1114	to reach; to achieve
1115	to greet; to say hello
1116	to defeat; to beat
1117	to have a part-time job
1118	to disturb; to bother
1119	to print
1120	printer
1121	to give a discount
1122	to get/give a shot
1123	coach; large bus
1124	greatly; enormously
1125	doctor
1126	a great amount of; large
1127	major competition
1128	hall; lobby
1129	approximately; about
1130	nature (the natural world)
1131	to stay
1132	to wear (hat, glasses etc)
1133	bag
1134	unit; workplace
1135	to act as; when; during
1136	at that time; then
1137	knife
1138	tour guide
1139	to pour; upside down
1140	road; way; classifier for long things
1141	after all; in the end
1142	to arrive; arrival
1143	road; path
1144	to apologize
1145	pleased with oneself; proud
1146	to board a plane
1147	etc.; and so on
1148	until; by the time
1149	low
1150	low price
1151	low temperature
1152	to be lower than
1153	bottom; base
1154	underneath; below
1155	the earth
1156	address
1157	to take roll call; to name
1158	to nod
1159	electric bike/vehicle
1160	TV series
1161	to fall; to drop; to lose
1162	to investigate; survey
1163	to order; to book
1164	to set; to decide; to book
1165	the east; eastern part
1166	high-speed train
1167	movement; action
1168	reader
1169	traffic jam
1170	to go on vacation
1171	belly; stomach
1172	text message
1173	team; squad
1174	the other person/side
1175	across; opposite
1176	regarding; as for
1177	team member
1178	team captain; leader
1179	classifier for meals
1180	how; what (exclamation)
1181	majority; most
1182	diverse; varied
1183	and; but; yet
1184	child; children
1185	to send out; to issue
1186	to send; to transmit
1187	law; method; way
1188	law
1189	to translate; translator
1190	annoyed; to bother
1191	worried; troubled
1192	to oppose; to object to
1193	aspect; respect; side
1194	way; method; manner
1195	landlord
1196	rent (for housing)
1197	to give up; to abandon
1198	to relax
1199	fee; to cost
1200	cost; expense
1201	score; fraction
1202	to divide into
1203	classifier for copies, sets, gifts
1204	rich; abundant
1205	scenery; landscape
1206	otherwise; if not
1207	classifier for pictures, cloth
1208	to match; to conform to
1209	to pay
1210	parents
1211	father and daughter
1212	father
1213	to photocopy
1214	complicated; complex
1215	responsible; in charge
1216	person in charge
1217	father and son
1218	to change; to correct
1219	to change; to alter
1220	dry
1221	to drink a toast; cheers
1222	to rush; to catch up
1223	to dare
1224	suffix meaning 'sense of'
1225	to move emotionally; touched
1226	quickly; without delay
1227	feeling; to feel
1228	quickly; at once
1229	feelings; emotion
1230	touching; moving
1231	to catch up with
1232	to feel; a feeling
1233	to thank; grateful
1234	to do manual work
1235	piano
1236	high price
1237	college entrance exam
1238	high-speed; expressway
1239	high temperature
1240	to exceed; higher than
1241	arm
1242	singing voice
1243	singer
1244	each; every
1245	everywhere; all parts
1246	each; every one
1247	everyone
1248	every kind of; various
1249	even more
1250	factory
1251	skill; kung fu
1252	public
1253	homework; schoolwork
1254	kilometer
1255	highway; road
1256	worker
1257	wages; salary
1258	altogether; in total
1259	common; joint
1260	enough; quite
1261	to purchase; to buy
1262	to shop
1263	to estimate; to guess
1264	girl; young woman
1265	to encourage
1266	customer
1267	deliberately; on purpose
1268	to hang; to hang up (phone)
1269	key; crucial
1270	to watch
1271	audience; spectators
1272	to manage; to control; to mind
1273	to manage; to administer
1274	light; only
1275	broadcast; to broadcast
1276	advertisement
1277	to stroll; to visit
1278	to stipulate; regulation
1279	nationality
1280	international
1281	fruit juice
1282	process; course
1283	ocean
1284	shy; bashful
1285	winter vacation
1286	cold (weather)
1287	to shout; to yell
1288	sweat
1289	flight
1290	benefit; advantage
1291	properly; carefully
1292	funny; laughable
1293	qualified; up to standard
1294	box
1295	red envelope (money gift)
1296	thick
1297	to regret
1298	suddenly
1299	the Internet
1300	nurse
1301	each other; mutually
1302	stage play
1303	to doubt; to suspect
1304	harm; disadvantage
1305	environmental protection; eco-friendly
1306	to transfer (trains, buses)
1307	to reply; to respond
1308	to write back; reply letter
1309	to recall; memories
1310	member
1311	alive; to live
1312	activity; to move about
1313	lively; vivacious
1314	fire
1315	goods
1316	to obtain; to get
1317	to win an award
1318	to acquire; to obtain
1319	basic; fundamental
1320	basically
1321	foundation; basis
1322	excited; to excite
1323	active; positive
1324	to accumulate
1325	timely; promptly
1326	even if
1327	already; both...and
1328	to mail; to send by post
1329	plan; to plan
1330	since; now that
1331	technology; skill
1332	to continue
1333	reporter; journalist
1334	to work overtime
1335	furniture
1336	to speed up
1337	to strengthen
1338	to join; to add
1339	plus; in addition
1340	family; household
1341	hometown
1342	to refuel; go for it!
1343	gas station
1344	parent; guardian
1345	fake; false
1346	price
1347	price
1348	holiday; day off
1349	to subtract; to reduce
1350	to lighten; to ease
1351	to decrease; to reduce
1352	to work out; to exercise
1353	gym
1354	to suggest; suggestion
1355	river
1356	will; shall
1357	the future
1358	will; be going to
1359	prize; award
1360	bonus; award money
1361	scholarship
1362	to drop; to fall
1363	to lower; to reduce
1364	to cut the price
1365	to land; to descend
1366	to cool down
1367	to hand over; to pay
1368	proud; pride
1369	traffic police
1370	to exchange; to communicate
1371	suburbs; outskirts
1372	traffic; transportation
1373	coach; trainer
1374	teacher
1375	professor
1376	teaching; instruction
1377	education; to educate
1378	to be called
1379	street
1380	to accept
1381	then; to catch
1382	result; as a result
1383	public holiday
1384	to save; to economize
1385	to pay the bill
1386	to explain; explanation
1387	from now on
1388	only; merely
1389	although; feel free to
1390	only; merely
1391	nervous; tense
1392	to enter
1393	to carry out; to conduct
1394	to prohibit; to forbid
1395	wonderful; brilliant
1396	economy
1397	Beijing opera
1398	to experience; experience
1399	experience
1400	police officer
1401	tourist attraction
1402	scenic area
1403	scenery; view
1404	unexpectedly
1405	to compete; competition
1406	mirror
1407	after all; exactly
1408	exactly; even if
1409	to lift; to raise
1410	to hold (an event)
1411	to give an example
1412	to hold (a meeting)
1413	to gather; to assemble
1414	to dine together; group meal
1415	party; to gather
1416	to refuse; to reject
1417	distance; to be apart from
1418	theater
1419	to joke; to kid around
1420	view; opinion
1421	to roast; to grill; to bake
1422	to consider; to think over
1423	exam candidate
1424	classifier for trees, plants
1425	science and technology
1426	science; scientific
1427	to cough
1428	to cough
1429	it's a pity; unfortunate
1430	gram
1431	course; curriculum
1432	polite; courteous
1433	classroom
1434	living room
1435	definitely; to affirm
1436	empty
1437	air
1438	I'm afraid; probably
1439	free time; vacant
1440	spoken language
1441	bitter; hard (suffering)
1442	fast food
1443	express delivery
1444	fast; rapid
1445	sleepy; tired
1446	difficult; difficulty
1447	to pull
1448	trash; garbage
1449	spicy
1450	not enough time; too late
1451	there's enough time
1452	lazy
1453	to waste
1454	romantic
1455	tiger
1456	hometown
1457	old age
1458	always
1459	calm; cool-headed
1460	to get a haircut
1461	to understand
1462	manners; polite
1463	ideal; dream
1464	amazing; intense; severe
1465	physical strength
1466	for example
1467	example
1468	two (of us/them)
1469	even; including
1470	to contact; connection
1471	cool; cold
1472	to measure
1473	tael (unit of weight)
1474	bright; to shine
1475	to line up; row
1476	below zero
1477	pocket money
1478	small change
1479	snacks
1480	another; other
1481	another; besides
1482	to stay; to leave behind
1483	to flow
1484	fluent
1485	to leave behind; to stay
1486	popular; trendy
1487	to pass by
1488	hotel
1489	traveler; passenger
1490	to travel; trip
1491	lawyer
1492	messy; carelessly
1493	to fall; to drop
1494	troublesome; to bother
1495	steamed bun
1496	full; to fill
1497	towel
1498	sweater
1499	hat; cap
1500	beautiful
1501	beautiful; wonderful
1502	beautiful scenery
1503	beautiful
1504	delicious food; cuisine
1505	dream
1506	dream; to dream of
1507	password; PIN code
1508	free of charge
1509	to face; to confront
1510	job interview; to interview
1511	second (unit of time)
1512	ethnic group; nationality
1513	the end; final part
1514	mother and daughter
1515	mother
1516	mother and child
1517	goal; target
1518	purpose; goal
1519	destination
1520	currently; at present
1521	patience; patient
1522	southern part; the south
1523	don't tell me; surely not
1524	gentleman; man
1525	to feel unwell; to suffer
1526	unforgettable
1527	male; the male sex
1528	inside; within
1529	content; substance
1530	inner heart; innermost feelings
1531	whether or not; is it possible
1532	to be able to; can
1533	ability; capability
1534	uh-huh; yeah (agreement)
1535	end of the year
1536	age (of a person)
1537	rural area; countryside
1538	to do; to make; to fiddle with
1539	woman; the female sex
1540	warm; nice and warm
1541	occasionally; once in a while
1542	to pat; to take (a photo)
1543	row; line; to arrange in order
1544	sign; brand; playing card
1545	to line up; to queue
1546	volleyball
1547	sign; brand
1548	to judge; judgment
1549	to accompany; to keep company
1550	to criticize; criticism
1551	skin
1552	temper; temperament
1553	leather shoes
1554	classifier for articles, essays
1555	slice; piece; classifier for flat items
1556	table tennis; ping-pong
1557	usual; ordinary
1558	broken; to break
1559	grape
1560	wine
1561	common; widespread
1562	ordinary; common
1563	Mandarin Chinese
1564	classifier for periods, issues, terms
1565	end of term; end of semester
1566	midterm
1567	next; secondly
1568	among these; therein
1569	to have (an effect); to play (a role)
1570	air; gas; to get angry
1571	climate
1572	soda pop; soft drink
1573	air temperature
1574	kilogram
1575	be sure to; absolutely (must)
1576	visa; to issue a visa
1577	ahead; the front
1578	around (a time); front and back
1579	strong; powerful
1580	to knock; to strike
1581	bridge
1582	clever; skillful; coincidentally
1583	chocolate
1584	relative (family)
1585	musical instrument (esp. stringed)
1586	light (not heavy); gentle
1587	youth; young person
1588	relaxed; easy
1589	situation; circumstances
1590	to celebrate
1591	sports team
1592	sports fan
1593	area; district
1594	difference; to distinguish
1595	to take; to get
1596	to obtain; to achieve
1597	to cancel
1598	whole; entire; all
1599	all; the whole
1600	all; every one
1601	global; worldwide
1602	the whole body
1603	to lack; to be short of
1604	shortcoming; weakness
1605	to lack; to be short of
1606	but; however
1607	indeed; really
1608	however; but
1609	lively; bustling
1610	human life
1611	number of people
1612	personnel; staff
1613	any; whichever
1614	task; mission
1615	to throw; to throw away
1616	still; yet
1617	still; as before
1618	daily; everyday
1619	diary
1620	date (calendar)
1621	day; date; life (days)
1622	to enter; to join
1623	entrance
1624	to start school; to enroll
1625	to check in; to move in
1626	to take a walk
1627	to scan a QR code
1628	forest
